id,creation_date,tags,answer_count,comment_count,favorite_count,view_count,score
67270297,2021-04-26 16:23:23.143000+00:00,visual-studio-code|drupal|alias|symlink|explorer,0,0,,17,0
67314623,2021-04-29 09:27:11.287000+00:00,php|drupal|drupal-8|drupal-domain-access,0,0,,19,0
67101665,2021-04-15 02:59:22.533000+00:00,drupal|popup|drupal-7,1,0,,23,0
67081024,2021-04-13 19:08:20.193000+00:00,php|drupal|twig|drupal-8|drupal-modules,0,0,,25,0
67018953,2021-04-09 09:56:16.447000+00:00,amazon-web-services|drupal|headless-cms,1,0,,26,0
67314144,2021-04-29 08:58:14.957000+00:00,drupal|responsive|drupal-8|drupal-modules|drupal-9,0,0,,34,0
67305559,2021-04-28 18:01:25.907000+00:00,drupal|drupal-8|drupal-blocks,1,0,,35,0
67275440,2021-04-27 00:36:54.767000+00:00,drupal|twig,1,0,,40,0
67204888,2021-04-21 23:48:48.937000+00:00,drupal|twig|drupal-8|drupal-commerce,1,0,,50,0
67301968,2021-04-28 14:14:15.487000+00:00,drupal|drupal-modules|drupal-views|drupal-blocks|drupal-9,1,0,,51,2
67273184,2021-04-26 20:10:24.903000+00:00,javascript|twitter-bootstrap|drupal|tooltip|drupal-8,1,0,,70,-1
67101542,2021-04-15 02:43:29.237000+00:00,php|file|drupal|drupal-8|drupal-modules,2,0,,71,-2
67209382,2021-04-22 08:18:19.627000+00:00,drupal|drupal-8,1,0,,123,0
67008485,2021-04-08 16:49:54.817000+00:00,drupal|drupal-7,0,1,,14,0
67169374,2021-04-19 21:07:45.897000+00:00,file|drupal,2,1,,60,0
67302599,2021-04-28 14:53:48.563000+00:00,drupal|drupal-modules,0,1,,139,0
67006390,2021-04-08 14:42:53.760000+00:00,drupal|twig,0,1,,203,0
67180726,2021-04-20 14:16:28.423000+00:00,docker-compose|drupal|commerce,0,2,,10,0
67188305,2021-04-21 01:48:34.773000+00:00,windows|drupal|composer-php|drupal-9,0,2,,12,0
67071091,2021-04-13 08:15:37.600000+00:00,php|drupal|drupal-8,1,2,,47,1
67070336,2021-04-13 07:18:42.633000+00:00,docker|drupal,0,2,,57,0
67186730,2021-04-20 21:45:44.050000+00:00,drupal|drupal-7,1,2,,60,0
67031161,2021-04-10 05:36:15.600000+00:00,html|css|drupal|accessibility,1,3,,45,0
67141544,2021-04-17 18:19:22.537000+00:00,jquery|drupal|drupal-6,0,4,,20,0
67271509,2021-04-26 17:51:58.197000+00:00,javascript|jquery|drupal,1,4,1.0,200,1
67064693,2021-04-12 19:40:19.040000+00:00,php|oop|inheritance|dependency-injection|drupal,0,5,,47,0
67057094,2021-04-12 10:52:31.040000+00:00,php|docker|docker-compose|drupal|sudo,1,6,,137,0
66375826,2021-02-25 20:13:46.857000+00:00,drupal|single-sign-on|moodle,0,0,,9,0
66524699,2021-03-08 05:24:34.753000+00:00,caching|drupal|query-optimization|memcached|drupal-6,0,0,,15,0
66611298,2021-03-13 08:01:08.020000+00:00,drupal|commerce,0,0,,18,0
66600531,2021-03-12 13:10:21.917000+00:00,php|mysql|database|drupal|mariadb,0,0,,20,0
66365555,2021-02-25 09:13:59.187000+00:00,drupal|jquery-3|drupal-9,1,0,,22,0
66567839,2021-03-10 15:26:43.830000+00:00,javascript|css|drupal,0,0,,23,0
66302864,2021-02-21 13:36:32.267000+00:00,drupal|drupal-8|drupal-views|drupal-views-relationship,0,0,,24,0
66347238,2021-02-24 08:35:03.743000+00:00,drupal|drupal-8,0,0,,30,0
66582516,2021-03-11 12:24:15.773000+00:00,drupal|discount|commerce,0,0,,35,0
66620703,2021-03-14 03:05:39.903000+00:00,nginx|drupal|ubuntu-18.04,0,0,,35,0
66447442,2021-03-02 21:29:24.283000+00:00,jquery|drupal|drupal-modules|flexslider,0,0,,39,1
66469039,2021-03-04 05:22:07.280000+00:00,xml|drupal|migration,1,0,,40,1
66450829,2021-03-03 04:33:13.650000+00:00,php|view|drupal|hook|drupal-views,1,0,,41,0
66520135,2021-03-07 18:48:26.917000+00:00,drupal|dkan,0,0,,44,0
66468143,2021-03-04 03:26:13.640000+00:00,php|drupal|drupal-9,1,0,,45,0
66547070,2021-03-09 12:40:21.503000+00:00,api|rest|drupal|drupal-8,1,0,1.0,305,1
66360993,2021-02-25 01:00:54.590000+00:00,authentication|cookies|drupal|fetch|fetch-api,0,0,,58,0
66579316,2021-03-11 09:03:35.550000+00:00,php|docker|nginx|drupal,1,0,,95,0
66411349,2021-02-28 16:36:09.723000+00:00,drupal|ckeditor,0,0,,100,0
66547364,2021-03-09 12:59:40.147000+00:00,linux|apache|drupal|centos|clean-urls,1,0,,100,0
66591399,2021-03-11 22:20:13.643000+00:00,docker|drupal|drupal-8,2,0,,170,0
66328394,2021-02-23 06:51:41.020000+00:00,drupal|drupal-8,1,0,,177,-1
66501478,2021-03-06 01:19:58.580000+00:00,php|drupal|module|drupal-8,1,0,,206,0
66578844,2021-03-11 08:29:53.207000+00:00,drupal|hook,1,1,,278,2
66590892,2021-03-11 21:35:45.710000+00:00,drupal|composer-php|drupal-9,1,1,,67,1
66349270,2021-02-24 10:45:32.130000+00:00,drupal|drupal-8,1,1,,128,1
66499797,2021-03-05 21:21:30.577000+00:00,html|css|drupal|wai-aria,0,2,,16,0
66458093,2021-03-03 13:30:22.183000+00:00,drupal|webforms|salesforce,0,2,,74,0
66368912,2021-02-25 12:56:20.467000+00:00,docker|drupal|drush,0,3,,24,0
66536992,2021-03-08 20:49:17.643000+00:00,php|apache|.htaccess|drupal|drupal-8,1,3,,97,0
66488871,2021-03-05 08:05:18.437000+00:00,php|drupal|salesforce,0,4,,41,0
66376715,2021-02-25 21:29:02.657000+00:00,drupal|drupal-7|drupal-views,1,4,,65,0
66322055,2021-02-22 19:17:33.330000+00:00,mysql|hash|drupal|passwords|truncated,0,7,,35,0
66387657,2021-02-26 14:31:10.747000+00:00,php|drupal,1,7,,43,0
